a_name,a_alt_name,a_ra,a_dec,a_redshift,a_lx_500,a_mass_500,a_radius_500,b_name,b_science_case,b_ra,b_dec,b_z,b_l,b_b,_delta_ba
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.3,2.04e+45,1040000000000000.0,1.3902,1E0657_Bullet,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,0.5749
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.2965,2.04e+45,1040000000000000.0,1.3902,1E0657_Bullet_shortexp,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,0.5749
MCXC J0258.9+1334,RXC J0258.9+1334,02 58 57.5,13 34 46,0.0739,6.09e+44,585000000000000.0,1.2421,Abell_399_401_pointing_2,Filament,02 59 00.1,13 35 05,0.0727,164.1915,-38.859,0.7104
MCXC J0257.8+1302,RXC J0257.8+1302,02 57 49.8,13 02 57,0.0722,3.59e+44,425000000000000.0,1.1169,Abell_399_401_pointing_3,Filament,02 57 50.8,13 01 14,0.0727,164.342,-39.4782,1.7262
MCXC J1131.9-1955,RXC J1131.9-1955,11 31 56.4,-19 55 37,0.3075,1.25e+45,760000000000000.0,1.2485,Abell1300,Merging Clusters,11 31 56.0,-19 54 51,0.31,278.5818,39.1691,0.7766
MCXC J0105.5-2439,RXC J0105.5-2439,01 05 34.8,-24 39 17,0.23,5.16e+44,472000000000000.0,1.0959,Abell141,Merging Clusters,01 05 35.4,-24 39 33,0.23,175.9135,-85.9722,0.3013
MCXC J1247.7-0247,RXC J1247.7-0247,12 47 43.2,-02 47 32,0.1797,2.42e+44,309000000000000.0,0.9685,Abell1612,Merging Clusters,12 47 43.2,-02 47 32,0.18,301.0712,60.0661,0.0013
MCXC J1311.5-0120,RXC J1311.4-0120,13 11 30.0,-01 20 07,0.1832,1.25e+45,839000000000000.0,1.35,Abell1689,Merging Clusters,13 11 29.0,-01 20 10,0.18,313.3522,61.1294,0.2567
MCXC J0131.8-1336,RXC J0131.8-1336,01 31 53.0,-13 36 34,0.206,5.7e+44,511000000000000.0,1.1349,Abell209,Merging Clusters,01 31 53.0,-13 36 39,0.21,159.8805,-73.509,0.0814
MCXC J1615.7-0608,RXC J1615.7-0608,16 15 46.9,-06 08 45,0.203,2.02e+45,1110000000000000.0,1.4697,Abell2163,"Merging Clusters, Exotic Lens",16 15 49.0,-06 09 08,0.2,6.7679,30.4548,0.6436
MCXC J2127.1-1209,RXC J2127.1-1209,21 27 11.0,-12 09 33,0.176,3.9e+44,414000000000000.0,1.0699,Abell2345,Merging Clusters,21 27 09.8,-12 09 59,0.18,39.87,-40.0006,0.5199
MCXC J2135.2+0125,RXC J2135.2+0125,21 35 17.2,01 25 54,0.1244,1.61e+44,251000000000000.0,0.9213,Abell2355,Merging Clusters,21 35 15.6,01 25 29,0.231,55.9608,-34.8791,0.5743
MCXC J2152.4-1933,RXC J2152.4-1933,21 52 24.0,-19 33 54,0.0943,1.66e+44,261000000000000.0,0.9433,Abell2384a,Merging Clusters,21 52 21.8,-19 32 44,0.094,33.5641,-48.4169,1.281
MCXC J2152.2-1942,RXC J2152.2-1942,21 52 14.2,-19 42 20,0.0963,9.62e+43,187000000000000.0,0.8431,Abell2384b,Merging Clusters,21 52 08.5,-19 43 48,0.094,33.2755,-48.428,1.9962
MCXC J2223.8-0138,RXC J2223.8-0138,22 23 52.9,-01 38 16,0.0906,1.9e+44,284000000000000.0,0.9716,Abell2440,Merging Clusters,22 23 49.0,-01 37 13,0.091,62.4102,-46.4081,1.4327
MCXC J0014.3-3023,RXC J0014.3-3023,00 14 18.8,-30 23 00,0.3066,1.18e+45,736000000000000.0,1.2359,Abell2744,Merging Clusters,00 14 21.0,-30 23 50,0.31,8.8333,-81.2431,0.9578
MCXC J0043.4-2037,RXC J0043.4-2037,00 43 24.4,-20 37 17,0.2924,6.91e+44,537000000000000.0,1.1182,Abell2813,Merging Clusters,00 43 27.0,-20 37 01,0.29,106.8505,-83.2378,0.6602
MCXC J0118.1-2658,RXC J0118.1-2658,01 18 11.1,-26 58 23,0.2275,4.98e+44,462000000000000.0,1.0896,Abell2895,Merging Clusters,01 18 11.0,-26 58 12,0.23,212.9331,-84.0436,0.1849
MCXC J0225.9-4154,RXC J0225.9-4154,02 25 54.6,-41 54 35,0.2195,6.08e+44,525000000000000.0,1.1402,Abell3016,Filament,02 25 53.0,-41 54 08,0.22,256.4849,-65.7115,0.5423
MCXC J0225.9-4154,RXC J0225.9-4154,02 25 54.6,-41 54 35,0.2195,6.08e+44,525000000000000.0,1.1402,Abell3017,Merging Clusters,02 25 53.0,-41 54 52,0.22,256.5105,-65.7053,0.4102
MCXC J0304.1-3656,RXC J0304.1-3656,03 04 07.2,-36 56 36,0.2192,3.64e+44,384000000000000.0,1.0276,Abell3084,"Merging Clusters, Exotic Lens",03 04 04.0,-36 56 27,0.22,240.6588,-60.4061,0.6603
MCXC J0307.0-2840,RXC J0307.0-2840,03 07 04.1,-28 40 14,0.2537,6.26e+44,521000000000000.0,1.1231,Abell3088,Merging Clusters,03 07 02.0,-28 39 57,0.25,223.8998,-60.1009,0.5433
MCXC J0336.3-4037,RXC J0336.3-4037,03 36 18.7,-40 37 20,0.1729,4.12e+44,430000000000000.0,1.0839,Abell3140,Merging Clusters,03 36 16.0,-40 37 44,0.06,245.4842,-53.6181,0.6491
MCXC J0358.9-2955,MACS J0358.8-2955,03 58 54.4,-29 55 32,0.425,1.89e+45,890000000000000.0,1.2584,Abell3192,Merging Clusters,03 58 49.0,-29 56 04,0.43,228.3068,-49.0312,1.2878
MCXC J0449.9-4440,RXC J0449.9-4440,04 49 55.2,-44 40 41,0.1501,2.52e+44,324000000000000.0,0.9944,Abell3292,Merging Clusters,04 49 57.0,-44 40 24,0.17,249.8984,-39.8354,0.4287
MCXC J0547.6-3152,RXC J0547.6-3152,05 47 38.2,-31 52 31,0.1483,4.32e+44,450000000000000.0,1.1106,Abell3364,Merging Clusters,05 47 38.0,-31 52 24,0.15,236.9317,-26.6465,0.1266
MCXC J0548.8-2154,RXC J0548.8-2154,05 48 50.4,-21 54 43,0.0928,7.88e+43,166000000000000.0,0.8111,Abell3365,Merging Clusters,05 48 47.0,-21 54 34,0.093,226.6382,-23.1462,0.8034
MCXC J0841.9-1729,RXC J0841.9-1729,08 41 54.7,-17 29 05,0.1687,4.07e+44,428000000000000.0,1.0841,Abell3411,Merging Clusters,08 41 47.7,-17 28 46,0.17,241.94,14.8439,1.6955
MCXC J1248.7-4118,RXC J1248.7-4118,12 48 47.9,-41 18 28,0.0114,6.94e+43,162000000000000.0,0.826,Abell3526,Merging Clusters,12 48 47.0,-41 18 32,0.01,302.3959,21.5602,0.1812
MCXC J1327.9-3130,RXC J1327.9-3130,13 27 57.5,-31 30 09,0.048,3.14e+44,397000000000000.0,1.101,Abell3558,Merging Clusters,13 27 59.0,-31 30 04,0.05,311.9934,30.7268,0.3289
MCXC J1347.4-3250,RXC J1347.4-3250,13 47 28.4,-32 50 59,0.0391,3.82e+44,451000000000000.0,1.1514,Abell3571,Merging Clusters,13 47 30.0,-32 52 19,0.04,316.3197,28.5382,1.3724
MCXC J2012.5-5649,RXC J2012.5-5649,20 12 30.5,-56 49 55,0.0556,4.87e+44,517000000000000.0,1.199,Abell3667,Merging Clusters,20 12 33.9,-56 50 26,0.06,340.8509,-33.3993,0.7004
MCXC J2201.9-5956,RXC J2201.9-5956,22 01 56.0,-59 56 58,0.098,4.2e+44,459000000000000.0,1.1367,Abell3827,Merging Clusters,22 01 49.0,-59 57 15,0.1,332.2269,-46.3647,0.9216
MCXC J0248.0-0332,RXC J0248.0-0332,02 48 02.0,-03 32 15,0.1883,4.12e+44,425000000000000.0,1.074,Abell383,Merging Clusters,02 48 03.0,-03 31 45,0.19,177.7562,-53.4984,0.5624
MCXC J0248.2-0216,RXC J0248.2-0216,02 48 16.3,-02 16 44,0.236,6.16e+44,523000000000000.0,1.1319,Abell384,"Merging Clusters, Exotic Lens",02 48 08.9,-02 16 39,0.23,176.2814,-52.6144,1.8554
MCXC J2234.5-3744,RXC J2234.5-3744,22 34 31.0,-37 44 06,0.151,6.38e+44,570000000000000.0,1.1999,Abell3888,Merging Clusters,22 34 27.0,-37 44 06,0.16,3.9429,-59.4156,0.7909
MCXC J0454.1+0255,RXC J0454.1+0255,04 54 11.0,02 55 05,0.203,8.31e+44,644000000000000.0,1.2273,Abell520,Merging Clusters,04 54 11.0,02 56 01,0.2,195.7956,-24.3194,0.9327
MCXC J0454.1-1014,RXC J0454.1-1014,04 54 09.1,-10 14 19,0.2475,7.45e+44,582000000000000.0,1.1679,Abell521,Merging Clusters,04 54 08.6,-10 14 39,0.25,208.8334,-30.6645,0.3522
MCXC J0638.7-5358,RXC J0638.7-5358,06 38 46.5,-53 58 18,0.2266,9.54e+44,688000000000000.0,1.2442,AbellS0592,Merging Clusters,06 38 45.0,-53 58 22,0.22,263.1345,-23.4367,0.2291
MCXC J2248.7-4431,RXC J2248.7-4431,22 48 43.5,-44 31 44,0.3475,2.72e+45,1180000000000000.0,1.4256,AbellS1063_HFF,Merging Clusters,22 48 44.0,-44 31 48,0.348,349.4803,-59.9339,0.1113
MCXC J1459.4-1811,RXC J1459.4-1811,14 59 29.3,-18 11 13,0.2357,1.4e+45,862000000000000.0,1.337,AbellS780,Exotic Lens,14 59 29.1,-18 10 45,0.24,340.9151,35.0803,0.4668
MCXC J0328.6-2140,BVH2007 43,03 28 36.1,-21 40 04,0.59,3.51e+44,278000000000000.0,0.7996,ACT_CL_J0328d2m2140_J0328d6m2140,Filament,03 28 24.6,-21 40 13,0.5898,212.9762,-53.9917,2.6699
MCXC J1419.3+0638,RX J1419.3+0638,14 19 23.5,06 38 42,0.574,2.17e+44,210000000000000.0,0.7329,ACT_CL_J1419d3p0638_J1419d9p0634,Triple system,14 19 22.2,06 38 50,0.5568,352.4845,60.7523,0.3495
MCXC J0011.7-1523,MACS J0011.7-1523,00 11 42.8,-15 23 22,0.378,8.9e+44,720000000000000.0,1.19,MACSJ0011d7m1523,Merging Clusters,00 11 43.0,-15 23 21,0.38,82.7488,-75.0671,0.0489
MCXC J0025.4-1222,MACS J0025.4-1222,00 25 29.4,-12 22 37,0.5843,8.04e+44,462000000000000.0,0.95,MACSJ0025_BabyBullet,Merging Clusters,00 25 29.8,-12 22 47,0.59,99.2661,-74.0475,0.193
MCXC J0035.4-2015,MACS J0035.4-2015,00 35 26.2,-20 15 46,0.352,1.19e+45,1020000000000000.0,1.35,MACSJ0035d4m2015,Merging Clusters,00 35 24.0,-20 16 15,0.35,93.9367,-82.2233,0.7056
MCXC J0159.8-0850,MACS J0159.8-0849,01 59 49.4,-08 50 01,0.405,1.44e+45,915000000000000.0,1.28,MACSJ0159d8m0849,Merging Clusters,01 59 54.0,-08 51 32,0.41,167.6626,-65.5952,1.8873
MCXC J0217.2-5244,RXC J0217.2-5244,02 17 12.6,-52 44 49,0.3432,1.1e+45,684000000000000.0,1.1893,MACSJ0217d2m5244,Merging Clusters,02 17 15.0,-52 45 38,0.34,276.8284,-59.8001,0.8907
MCXC J0257.6-2209,MACS J0257.6-2209,02 57 41.3,-22 09 14,0.322,6.23e+44,588000000000000.0,1.14,MACSJ0257d6m2209,Exotic Lens,02 57 41.1,-22 09 18,0.32,210.0714,-60.9629,0.0816
MCXC J0417.5-1154,MACS J0417.5-1154,04 17 34.3,-11 54 27,0.443,2.91e+45,2210000000000000.0,1.69,MACSJ0417d5m1154,"Merging Clusters, Exotic Lens",04 17 37.0,-11 53 45,0.44,205.9359,-39.4641,0.9612
MCXC J0429.5-0253,MACS J0429.6-0253,04 29 36.0,-02 53 06,0.399,1.05e+45,609000000000000.0,1.12,MACSJ0429d6m0253,Merging Clusters,04 29 36.0,-02 53 08,0.4,197.8388,-32.5889,0.0306
MCXC J0451.9+0006,MACS J0451.9+0006,04 51 54.4,00 06 19,0.43,6.75e+44,410000000000000.0,0.97,MACSJ0451d9p0006,Merging Clusters,04 51 55.0,00 06 15,0.43,198.1508,-26.267,0.1622
MCXC J0520.7-1328,MACS J0520.7-1328,05 20 42.2,-13 28 47,0.336,7.9e+44,630000000000000.0,1.16,MACSJ0520d7m1328,Exotic Lens,05 20 42.0,-13 28 50,0.34,215.2591,-26.1084,0.0717
MCXC J0949.8+1707,RXC J0949.8+1707,09 49 52.8,17 07 47,0.3826,1.47e+45,790000000000000.0,1.2295,MACSJ0949d8p1708,Exotic Lens,09 49 50.9,17 07 15,0.38,216.6312,47.0105,0.7004
MCXC J1115.8+0129,RXC J1115.8+0129,11 15 54.0,01 29 44,0.3499,1.23e+45,727000000000000.0,1.2108,MACSJ1115d9p0129,Merging Clusters,11 15 52.0,01 29 57,0.35,257.1133,55.6261,0.5469
MCXC J1206.2-0848,RXC J1206.2-0848,12 06 12.5,-08 48 22,0.4414,1.76e+45,840000000000000.0,1.2266,MACSJ1206d2m0847,"Merging Clusters, Exotic Lens",12 06 12.0,-08 48 02,0.44,284.3968,52.4357,0.3586
MCXC J1311.0-0310,MACS J1311.0-0310,13 11 01.9,-03 10 36,0.494,7.24e+44,415000000000000.0,0.95,MACSJ1311d0m0310,Merging Clusters,13 11 02.0,-03 10 40,0.49,312.5537,59.3275,0.0661
MCXC J1931.8-2634,MACS J1931.8-2634,19 31 49.7,-26 34 33,0.352,1.96e+45,592000000000000.0,1.13,MACSJ1931d8m2635,Merging Clusters,19 31 50.0,-26 34 34,0.35,12.577,-20.0944,0.0672
MCXC J2140.2-2339,MACS J2140.2-2339,21 40 15.2,-23 39 40,0.313,1.11e+45,470000000000000.0,1.06,MACSJ2140d2m2339,Merging Clusters,21 40 15.0,-23 39 46,0.31,26.4873,-46.9369,0.1058
MCXC J2243.3-0935,MACS J2243.3-0935,22 43 21.4,-09 35 43,0.447,1.52e+45,1740000000000000.0,1.56,MACSJ2243d3m0935,Merging Clusters,22 43 20.0,-09 35 30,0.45,56.9393,-55.0815,0.4113
MCXC J1010.5-1239,MS1008.1-1224,10 10 32.2,-12 39 55,0.3062,2.47e+44,284000000000000.0,0.8996,MS1008d1m1224,Merging Clusters,10 10 24.0,-12 38 38,0.31,253.2093,34.256,2.3843
MCXC J2140.2-2339,MACS J2140.2-2339,21 40 15.2,-23 39 40,0.313,1.11e+45,470000000000000.0,1.06,MS2137m2353,Merging Clusters,21 40 15.0,-23 39 41,0.31,26.4893,-46.9366,0.0472
MCXC J0303.7-7752,RXC J0303.7-7752,03 03 46.4,-77 52 09,0.2742,6.34e+44,517000000000000.0,1.1117,PSZ2G294d68m37d01,Merging Clusters,03 03 57.8,-77 54 12,0.27,294.6844,-37.0165,2.1284
MCXC J0528.9-3927,RXC J0528.9-3927,05 28 56.3,-39 27 46,0.2839,1.2e+45,755000000000000.0,1.2568,RBS653,Merging Clusters,05 28 53.0,-39 28 20,0.29,244.3754,-32.1423,0.8528
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.2965,2.04e+45,1040000000000000.0,1.3902,repeat_1E0657_Bullet,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,0.5749
MCXC J2152.4-1933,RXC J2152.4-1933,21 52 24.0,-19 33 54,0.0943,1.66e+44,261000000000000.0,0.9433,repeat_Abell2384a,Merging Clusters,21 52 21.8,-19 32 44,0.094,33.5641,-48.4169,1.281
MCXC J2152.2-1942,RXC J2152.2-1942,21 52 14.2,-19 42 20,0.0963,9.62e+43,187000000000000.0,0.8431,repeat_Abell2384b,Merging Clusters,21 52 08.5,-19 43 48,0.094,33.2755,-48.428,1.9962
MCXC J0220.9-3829,RXC J0220.9-3829,02 20 56.6,-38 29 05,0.228,4.48e+44,433000000000000.0,1.066,RXCJ0220d9m3829,Merging Clusters,02 20 57.0,-38 28 48,0.23,249.8249,-68.1205,0.2939
MCXC J0232.2-4420,RXC J0232.2-4420,02 32 16.8,-44 20 51,0.2836,8.5e+44,613000000000000.0,1.1728,RXCJ0232d2m4420,Merging Clusters,02 32 18.0,-44 21 40,0.28,259.9925,-63.4414,0.8426
MCXC J0528.2-2942,RXC J0528.2-2942,05 28 15.4,-29 42 57,0.1582,2.3e+44,304000000000000.0,0.9708,RXCJ0528d2m2942,Merging Clusters,05 28 15.0,-29 43 03,0.16,233.2475,-30.0317,0.128
MCXC J1314.4-2515,RXC J1314.4-2515,13 14 28.0,-25 15 41,0.2439,9.89e+44,694000000000000.0,1.2401,RXCJ1314d4m2515,Merging Clusters,13 14 31.5,-25 15 57,0.25,309.4979,37.3115,0.8351
MCXC J1514.9-1523,RXC J1514.9-1523,15 14 58.0,-15 23 10,0.2226,6.43e+44,542000000000000.0,1.1511,RXCJ1514d9m1523,Merging Clusters,15 15 00.0,-15 21 23,0.22,346.6151,35.0659,1.8525
MCXC J1558.3-1410,RXC J1558.3-1410,15 58 23.2,-14 10 04,0.097,3.18e+44,387000000000000.0,1.0745,RXCJ1558d3m1410,Merging Clusters,15 58 22.0,-14 09 58,0.1,356.5149,28.6764,0.3115
MCXC J2003.5-2323,RXC J2003.5-2323,20 03 30.4,-23 23 05,0.3171,8.16e+44,583000000000000.0,1.1386,RXCJ2003d5m2323,Merging Clusters,20 03 32.0,-23 22 30,0.32,18.5643,-25.7015,0.6883
MCXC J2014.8-2430,RXC J2014.8-2430,20 14 49.7,-24 30 30,0.1612,9.46e+44,719000000000000.0,1.2922,RXCJ2014d9m2430,Merging Clusters,20 14 52.0,-24 30 22,0.15,18.335,-28.5199,0.5366
MCXC J2043.2-2144,RXC J2043.2-2144,20 43 12.6,-21 44 06,0.2041,3.9e+44,406000000000000.0,1.0518,RXCJ2043d2m2144,Merging Clusters,20 43 15.0,-21 44 34,0.2,23.8503,-33.8082,0.7239
MCXC J0437.1+0043,RXC J0437.1+0043,04 37 10.1,00 43 38,0.2842,8.09e+44,595000000000000.0,1.1608,RXJ0437d1p0043,"Merging Clusters, Exotic Lens",04 37 09.5,00 43 52,0.29,195.383,-29.0952,0.2731
MCXC J1347.5-1144,RXC J1347.5-1144,13 47 30.0,-11 44 56,0.4516,3.73e+45,1320000000000000.0,1.4195,RXJ1347d5m1145,Merging Clusters,13 47 31.0,-11 45 10,0.45,324.0397,48.8072,0.3321
MCXC J2248.7-4431,RXC J2248.7-4431,22 48 43.5,-44 31 44,0.3475,2.72e+45,1180000000000000.0,1.4256,RXJ2248d7m4431,Merging Clusters,22 48 44.0,-44 31 48,0.35,349.4803,-59.9339,0.1102
MCXC J2031.8-4037,RXC J2031.8-4037,20 31 51.5,-40 37 14,0.3416,1.04e+45,662000000000000.0,1.1775,SMACSJ2031d8m4036,Exotic Lens,20 31 53.3,-40 37 31,0.33,0.7426,-35.7019,0.4344
MCXC J1234.2+0947,RXC J1234.2+0947,12 34 16.0,09 47 01,0.229,3.568e+44,377000000000000.0,1.0173,ZwCL5247,Merging Clusters,12 34 25.1,09 47 33,0.23,289.0903,72.2054,2.3068
