Name,RA,Dec,Wht,PA,Exp_u,N_u,Exp_b,N_b,Exp_g,N_g,Exp_dark,N_dark,Exp_r,N_r,Exp_ir,N_ir,Exp_lum,N_lum
1E0657_Bullet,104.6125,-55.9475,60,500,300,40,300,36,300,48,0,0,300,0,300,0,300,0
1E0657_Bullet_shortexp,104.6125,-55.9475,50,500,120,0,120,90,120,0,0,0,120,0,120,0,120,0
A222_A223,24.4285,-12.8925,9,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell_399_401_pointing_1,44.5802786,13.2497633,6,30,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell_399_401_pointing_2,44.7505184,13.5846612,6,30,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell_399_401_pointing_3,44.4617247,13.020693,6,30,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell1300,172.9833,-19.9141,6.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell141,16.3975,-24.6592,8.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell1612,191.93,-2.7922,9,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell1689,197.8708,-1.3361,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell209,22.9708,-13.6108,5.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell2163,243.9541,-6.1522,8.5,500,300,36,300,58,300,29,0,0,300,0,300,0,300,0
Abell2345,321.7908,-12.1663,8.5,500,300,41,300,53,300,44,0,0,300,0,300,0,300,0
Abell2355,323.8151,1.4247,8.9,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell2384a,328.0907648,-19.5455049,9.1,500,300,36,300,54,300,36,0,0,300,0,300,0,300,0
Abell2384b,328.0353274,-19.7301182,9,500,300,36,300,36,300,36,0,0,300,0,300,0,300,0
Abell2440,335.954166,-1.620277,8,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell2744,3.5875,-30.3972,9,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell2813,10.8624,-20.6169,7.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell2895,19.5458,-26.97,6.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3016,36.4707046,-41.9022316,8,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3017,36.4708,-41.9144,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3084,46.0166,-36.9408,6.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3088,46.7583,-28.6658,4.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3140,54.0666,-40.6288,7,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3192,59.7041,-29.9344,9.5,500,300,36,300,47,300,27,0,0,300,0,300,0,300,0
Abell3292,72.4875,-44.6733,4.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3364,86.9083,-31.8733,3.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3365,87.19583,-21.9094,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3376,90.54045,-39.94987,4,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3411,130.4488,-17.4795,12,500,300,36,300,46,300,27,0,0,300,0,300,0,300,0
Abell3526,192.1958,-41.3088,8.1,500,300,52,300,59,300,31,0,0,300,0,300,0,300,0
Abell3558,201.9958,-31.5011,7.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3571,206.875,-32.8719,7,500,300,38,300,36,300,23,0,0,300,0,300,0,300,0
Abell3667,303.1414,-56.8406,10,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell370,39.9708,-1.5769,9,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3716S,312.9772459,-52.7040438,9.2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3827,330.4541,-59.9541,12,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell383,42.0125,-3.5291,4,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell384,42.037,-2.2775,6.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell3888,338.6125,-37.7349,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell520,73.5458,2.9336,100,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Abell521,73.5358,-10.2441,15,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
AbellS0592,99.6875,-53.9727,8.5,500,300,36,300,48,300,29,0,0,300,0,300,0,300,0
AbellS1063_HFF,342.1833333,-44.53,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
AbellS295,41.3666,-53.0422,7.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
AbellS780,224.8713,-18.1792,8.5,500,300,36,300,51,300,34,0,0,300,0,300,0,300,0
ACT_CL_J0012_0855_J0012_0857,3.209432,-8.931089,8,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J0018d3p1618_J0018d5p1626,4.608544,16.370221,6,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J0245d9m2029_J0246d4m2033,41.544843,-20.523396,6,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J0328d2m2140_J0328d6m2140,52.102608,-21.670243,6,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J0921d4p1810_Cassowary,140.357627,18.16981971,8.5,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J1233d9p1511_J1234d2p1515,188.5294425,15.22214473,7,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J1419d3p0638_J1419d9p0634,214.8424447,6.6470958,7,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J1512_1418_J1512_1420,228.204979,14.3318435,8,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J2319d7p0030_J2319d8p0038_J2320d0+0033,349.9748655,0.5661417423,7,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
ACT_CL_J2336d0m3210_J2336d3m3206,354.049865,-32.13974,8,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Apep,240.2104167,-51.7125,2,1000,300,4,300,4,300,4,0,0,300,0,300,0,300,4
C60_C61_Antennae,180.4708,-18.8694,1,1000,300,0,300,2,300,2,0,0,300,2,300,0,300,6
Centaurus1_long,189.585,-40.902,4,500,300,0,300,36,300,24,0,0,300,0,300,0,300,0
Centaurus1_short,189.585,-40.902,100,500,3,0,3,6,3,6,0,0,3,0,3,0,3,0
ChandraDeepFieldSouth,53.1166,-27.8083,10,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
COSMOS106,149.91688,2.51498,100,158,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOS113,149.8599,1.76499,11,500,300,36,300,36,300,38,0,0,300,0,300,0,300,0
COSMOS34_41_filament,150.4678,2.113,0,500,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOS67,150.19275,1.6903,0,500,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSa,150.290049,1.8976958,10,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSb,150.0582162,1.8729673,10,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSblank,150.51,2.61672,0,500,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSc,150.1543075,2.2271866,0,68,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSd,149.9245187,2.1942311,0,68,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSe,150.314207,2.4339671,0,68,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSf,149.7260975,2.081021,0,68,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSg,150.0835798,2.5808513,50,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSh,149.8761081,2.4827571,0,68,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSi,150.5600598,2.4100306,0,68,300,0,300,1,300,0,0,0,300,0,300,0,300,0
COSMOSk,150.2204764,2.2393269,47,68,300,36,300,36,300,38,0,0,300,0,300,0,300,0
COSMOSl,150.0537401,2.1066104,44,68,300,36,300,36,300,38,0,0,300,0,300,0,300,0
COSMOSm,149.9289648,2.4373547,41,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSn,150.4209153,2.1526395,38,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSo,150.2580837,2.463938,35,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSp,150.4966361,2.4270577,32,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSq,149.7049188,1.9683126,29,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSr,149.9153793,2.0550056,26,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSs,149.7713711,2.2111151,23,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
COSMOSt,150.0757448,2.3699957,20,68,300,0,300,36,300,0,0,0,300,0,300,0,300,0
G292d51p21d98,180.2702,-39.8666,9,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Hydra2_long,185.4254167,-31.98527778,4,500,300,0,300,36,300,24,0,0,300,0,300,0,300,0
Hydra2_short,185.4254167,-31.98527778,100,500,3,0,3,6,3,6,0,0,3,0,3,0,3,0
HydraA,,,,,,,,,,,,,,,,,,
IC4715,274.2,-18.55,0,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
IC5332,353.917,-35.9733,1,1000,300,4,300,4,300,4,0,0,300,4,300,0,300,4
LambdaCen_C100,174.15,-63.0333,1,1000,300,0,300,2,300,2,0,0,300,2,300,0,300,6
Leo4_long,342.9795833,-0.5333333333,10,500,300,0,300,36,300,24,0,0,300,0,300,0,300,0
Leo4_short,342.9795833,-0.5333333333,200,500,3,0,3,6,3,6,0,0,3,0,3,0,3,0
Leo5_long,172.79,2.22,4,500,300,0,300,36,300,24,0,0,300,0,300,0,300,0
Leo5_short,172.79,2.22,100,500,3,0,3,6,3,6,0,0,3,0,3,0,3,0
M104_Sombrero,189.9999,-11.616667,1,1000,300,0,300,2,300,2,0,0,300,2,300,2,300,6
M17_Omega,275.238,-16.2,1,1000,300,0,300,2,300,2,0,0,300,2,300,0,300,6
M83_SouthernPinwheel,204.2538,-29.8658,1,1000,300,2,300,2,300,2,0,0,300,2,300,0,300,2
MACS1519d1m8130,229.6083,-81.5027,6.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACS2344m42_Phoenix,356.1833,-42.7197,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0011d7m1523,2.9291,-15.3891,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0025_BabyBullet,6.3742,-12.3797,7.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0035d4m2015,8.85,-20.2708,4.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0111d5p0855,17.8833,8.9277,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0159d0m3412,29.7666,-34.218,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0159d8m0849,29.9749,-8.8588,4.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0217d2m5244,34.3125,-52.7605,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0257d6m2209,44.4211,-22.1549,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0416d1m2403,64.0375,-24.0677,9,500,300,36,300,55,300,18,0,0,300,0,300,0,300,0
MACSJ0417d5m1154,64.4041,-11.8958,7.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0429d6m0253,67.3999,-2.8855,5.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0451d9p0006,72.9791,0.1041,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0520d7m1328,80.175,-13.4806,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0553d4m3342,88.35,-33.7116,9.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0600d1m2007,90.0408,-20.1358,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0723d3_7327_JWST,110.8375,-73.4391,7.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0916d1m0023,139.05,-0.3961,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ0949d8p1708,147.462,17.1209,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1105d7m1014,166.4458,-10.2461,6,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1115d9p0129,168.9666,1.4991,7.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1141d6m1905,175.4208,-19.0875,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1206d2m0847,181.55,-8.8005,7.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1226d8p2153,186.7041,21.8836,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1311d0m0310,197.7583,-3.1777,6,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ1931d8m2635,292.9583,-26.5761,4.5,500,300,39,300,54,300,26,0,0,300,0,300,0,300,0
MACSJ2135d2m0102,323.8,-1.0494,7,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ2140d2m2339,325.0625,-23.6627,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ2243d3m0935,340.8333,-9.5916,4,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MACSJ2332d4m5358,353.1166,-53.9747,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
MS1008d1m1224,152.5999,-12.6438,7,500,300,36,300,55,300,18,0,0,300,0,300,0,300,0
MS2137m2353,325.0625,-23.6613,4,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
NCG6193 ,250.333,-48.763,0,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
NGC1316_NGC1317,50.635138,-37.16876,15,120,300,5,300,5,300,3,0,0,300,3,300,3,300,6
NGC1787,75.438,-65.824,0,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
NGC2070_Tarantula,84.62417,-69.0895,1,1000,300,0,300,2,300,2,0,0,300,2,300,0,300,6
NGC2997,146.666,-31.301,1,1000,300,4,300,4,300,4,0,0,300,4,300,0,300,4
NGC300A_long,13.651484,-37.643548,1000,1000,300,6,300,6,300,6,0,0,300,4,300,0,300,4
NGC300A_short,13.651484,-37.643548,1001,1000,3,6,3,6,3,6,0,0,3,6,3,0,3,6
NGC3372_Carina,161.3079,-60.0137,1,1000,300,0,300,2,300,2,0,0,300,2,300,0,300,6
NGC3532_WishingWell,166.417,-58.7069,0,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
NGC4755_Jewelbox,193.415,-60.371,0,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
NGC5102,200.49167,-36.630278,2,1000,300,4,300,4,300,4,0,0,300,4,300,0,300,6
NGC5128_CenA,201.7096,-43.1406,2,1000,300,4,300,4,300,4,0,0,300,4,300,0,300,6
NGC5460,211.847,-48.285,0,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
NGC6744_C101,287.438,-63.86,1,1000,300,2,300,2,300,2,0,0,300,2,300,0,300,6
NGC6752_peacock_120s,287.7171,-59.9845,30,1000,300,4,300,4,300,4,0,0,300,4,300,0,300,0
NGC6752_peacock_30s,287.7171,-59.9845,40,1000,30,4,30,4,30,4,0,0,30,4,30,0,30,0
NGC6752_peacock_3s,287.7171,-59.9845,50,1000,3,4,3,4,3,4,0,0,3,4,3,0,3,0
NGC7293_Helix,337.7246,-20.7186,1,1000,300,0,300,2,300,2,0,0,300,2,300,0,300,6
Omega_Centauri,201.69699,-47.47947,20,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
Pisces2_long,344.6291667,5.9525,4,500,300,0,300,36,300,24,0,0,300,0,300,0,300,0
Pisces2_short,344.6291667,5.9525,100,500,3,0,3,6,3,6,0,0,3,0,3,0,3,0
PLCKG287d0p32d9,177.7041,-28.0852,7.1,500,300,36,300,36,300,22,0,0,300,0,300,0,300,0
PSZ2G294d68m37d01,45.991,-77.9032,2,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
PSZ2G308d33m20d21,229.6124,-81.503,2,1000,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RBS653,82.2208,-39.4722,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
repeat_1E0657_Bullet,104.6125,-55.9475,60,500,300,0,300,40,300,40,0,0,300,0,300,0,300,0
repeat_Abell2384a,328.0907648,-19.5455049,8.7,500,300,36,300,36,300,38,0,0,300,0,300,0,300,0
repeat_Abell2384b,328.0353274,-19.7301182,8.6,500,300,36,300,36,300,38,0,0,300,0,300,0,300,0
RXCJ0220d9m3829,35.2375,-38.48,6,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ0232d2m4420,38.0749,-44.3611,6.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ0312d9p0822,48.2375,8.3719,6.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ0528d2m2942,82.0625,-29.7174,6.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ0600d1m2007,90.0625,-20.1241,4.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ1314d4m2515,198.6313,-25.2657,8,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ1514d9m1523,228.75,-15.3563,6.1,500,300,60,300,54,300,28,0,0,300,0,300,0,300,0
RXCJ1558d3m1410,239.5916,-14.1661,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ2003d5m2323,300.8833,-23.375,10,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ2014d9m2430,303.7166,-24.5061,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXCJ2043d2m2144,310.8125,-21.7427,2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXJ0437d1p0043,69.2897,0.7311,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXJ1347d5m1145,206.8791,-11.7527,7,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
RXJ2248d7m4431,342.1833,-44.53,7.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
SMACSJ2031d8m4036,307.9719,-40.6252,10,500,300,36,300,56,300,28,0,0,300,0,300,0,300,0
SPT_CLJ0254m5857,43.5666,-58.953,4.1,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
SPTCLJ0304,46.0706,-44.0275,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
SPTCLJ0411,62.817,-48.3145,8.5,500,300,36,300,53,300,27,0,0,300,0,300,0,300,0
SPTCLJ0615,93.9658,-57.7803,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Terzan_5,267.0202,-24.77906,20,1000,60,5,60,5,60,5,0,0,60,5,60,0,60,5
WR112,274.1395833,-18.97841667,2,1000,300,6,300,6,300,6,0,0,300,0,300,0,300,6
WR48a,198.165,-62.7155,8,1000,300,4,300,4,300,4,0,0,300,0,300,0,300,4
Z20_SPT_CLJ0111m5518,17.89407,-55.31981,6.53,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0135m5904,23.99831,-59.10447,6.44,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0144m4807,26.10096,-48.13661,8.6,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0145m5301,26.49096,-53.18341,4.87,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0307m6225,46.8333,-62.422,3,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0354m5904,58.61676,-59.09708,7.48,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0439m5330,69.90064,-53.53884,7.55,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0451m4952,72.96825,-49.93968,7.83,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ0600m4353,90.07561,-43.93144,8.5,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
Z20_SPT_CLJ2344m4224,356.1481,-42.41,8.71,500,300,36,300,6,300,6,0,0,300,0,300,0,300,0
ZTF20aazyria,216.9208104,-7.188864,25,1000,300,5,300,5,300,5,0,0,300,0,300,0,300,0
Zw3146,,,,,,,,,,,,,,,,,,
,355.919,0.3053,9.2,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0
,188.6046,9.7926,9,500,300,36,300,36,300,18,0,0,300,0,300,0,300,0